"","term","estimate","std.error","statistic","p.value","treatment","rate.type"
"1","lnc",1.62419697352289,0.476862383271698,3.40600775087239,0.00101341500849142,"C","R"
"2","E",0.0102424846229127,0.0241402943936114,0.424289963324693,0.672439041934107,"C","R"
"3","Eh",5.44837069305103e-08,0.0376878351897254,1.44565764141751e-06,0.999998849959844,"C","R"
"4","Th",434.645965783835,347828468.74014,1.24959859484232e-06,0.99999900592746,"C","R"
"5","lnc",1.62686547532782,46.223350230631,0.0351957499231576,0.971999903365152,"T3","R"
"6","E",0.015699248516626,0.663994849799167,0.0236436299488986,0.98118807716382,"T3","R"
"7","Eh",2.60557082608994e-06,1.32792497551942,1.96213707409997e-06,0.9999984386895,"T3","R"
"8","Th",322.283879395616,319015301.6098,1.01024583388108e-06,0.999999196127809,"T3","R"
"9","lnc",1.62779428658891,0.526308135403811,3.0928541230699,0.002624768101251,"T2","R"
"10","E",0.005328332720309,0.0300240635973154,0.177468739467546,0.859530366845834,"T2","R"
"11","Eh",6.37229307263393e-08,0.0496901254007503,1.28240631740038e-06,0.999998979564438,"T2","R"
"12","Th",973.781218686949,591695550.491614,1.64574707022535e-06,0.999998690447158,"T2","R"
"13","lnc",1.43915372122727,25134.0783301997,5.72590608782363e-05,0.999954437855488,"T1","R"
"14","E",0,181.287515425838,0,1,"T1","R"
"15","Eh",0.014334783028908,88.8800123937889,0.000161282414829071,0.999871664457104,"T1","R"
"16","Th",1134.97069494879,467970410.388434,2.42530439906814e-06,0.999998070138282,"T1","R"
"17","lnc",1.36481742202128,0.0100274935127271,136.10753477816,2.69509490481164e-100,"C","GP"
"18","E",0.0947610100135173,0.0478330277147768,1.98107906901831,0.0508540973797396,"C","GP"
"19","Eh",10.2183320832439,2.76185824427512,3.699803240961,0.000384312783025973,"C","GP"
"20","Th",307.310154344913,0.230729543981013,1331.9063915378,2.00259545259598e-183,"C","GP"
"21","lnc",1.35698645385439,0.00911735088404876,148.835607087197,1.91496137680919e-111,"T3","GP"
"22","E",0.0807626941714896,0.038790916093632,2.08200017696276,0.0401192199319619,"T3","GP"
"23","Eh",11.8732852088478,2.9570009758017,4.01531325353342,0.000121028791999678,"T3","GP"
"24","Th",307.206280475631,0.203878060185237,1506.81382879802,7.42715126800526e-204,"T3","GP"
"25","lnc",1.35986173200692,0.00906442047069015,150.021916613869,9.25218043773369e-112,"T2","GP"
"26","E",0.0734835010736486,0.0403774352311337,1.81991502563263,0.0720239494480203,"T2","GP"
"27","Eh",11.1613224027502,2.93433423037269,3.80369839509817,0.000256321985213135,"T2","GP"
"28","Th",307.298455817172,0.229005794215409,1341.88070162155,3.17992446016134e-199,"T2","GP"
"29","lnc",1.3760508824731,0.00971284870350968,141.673254106786,1.75482166648341e-109,"T1","GP"
"30","E",0.115966972659309,0.0457018994486311,2.53746505196476,0.0128483778982667,"T1","GP"
"31","Eh",10.2185134022117,2.88385170512223,3.54335605539697,0.000622891979504521,"T1","GP"
"32","Th",307.40293043387,0.263739063250897,1165.55707237587,1.35108161924176e-193,"T1","GP"
