,fragment.ID.full,individual.ID,temp.Cat,treatment,Temp.C,umol.cm2.hr,rate.type,light_dark,fragment.ID,genotype,log.rate,K,replica
1,K201a_2706,K201a,27,T1,26.44653272,0.944549357,GP,light,K201a,K2,1.372334716,299.5965327,K2a
2,K201a_2801,K201a,28,T1,27.12077611,1.080211322,GP,light,K201a,K2,1.406148782,300.2707761,K2a
3,K201a_2903,K201a,29,T1,28.4809316,1.249661946,GP,light,K201a,K2,1.446839438,301.6309316,K2a
4,K201a_3004,K201a,30,T1,29.30243299,0.917723233,GP,light,K201a,K2,1.365510677,302.452433,K2a
5,K201a_3106,K201a,31,T1,30.02551912,0.912495023,GP,light,K201a,K2,1.364175284,303.1755191,K2a
6,K201a_3202,K201a,32,T1,31.44757175,1.398171404,GP,light,K201a,K2,1.481188865,304.5975718,K2a
7,K201a_3303,K201a,33,T1,32.56415912,1.084311166,GP,light,K201a,K2,1.407153089,305.7141591,K2a
8,K201a_3405,K201a,34,T1,32.92701723,0.48103359,GP,light,K201a,K2,1.247329258,306.0770172,K2a
9,K201b_2703,K201b,27,T1,26.41847657,0.921891137,GP,light,K201b,K2,1.36657397,299.5684766,K2b
10,K201b_2805,K201b,28,T1,27.37569924,0.901125638,GP,light,K201b,K2,1.361265137,300.5256992,K2b
11,K201b_2906,K201b,29,T1,28.17806804,0.821747015,GP,light,K201b,K2,1.340707652,301.328068,K2b
12,K201b_3002,K201b,30,T1,29.38777591,1.10422596,GP,light,K201b,K2,1.412017165,302.5377759,K2b
13,K201b_3104,K201b,31,T1,30.18058176,1.239327476,GP,light,K201b,K2,1.444404643,303.3305818,K2b
14,K201b_3205,K201b,32,T1,31.1978655,1.00739541,GP,light,K201b,K2,1.388141507,304.3478655,K2b
15,K201b_3301,K201b,33,T1,32.5590045,1.202593091,GP,light,K201b,K2,1.435701737,305.7090045,K2b
16,K201b_3402,K201b,34,T1,33.2056714,0.740444309,GP,light,K201b,K2,1.319204404,306.3556714,K2b
17,K201c_2701,K201c,27,T1,26.43534989,0.990289955,GP,light,K201c,K2,1.383863899,299.5853499,K2c
18,K201c_2803,K201c,28,T1,27.30795299,1.053404045,GP,light,K201c,K2,1.399557033,300.457953,K2c
19,K201c_2904,K201c,29,T1,28.6130899,1.219934754,GP,light,K201c,K2,1.439819667,301.7630899,K2c
20,K201c_3006,K201c,30,T1,29.52390021,0.578296021,GP,light,K201c,K2,1.274886715,302.6739002,K2c
21,K201c_3102,K201c,31,T1,30.55022914,1.374653292,GP,light,K201c,K2,1.475827269,303.7002291,K2c
22,K201c_3203,K201c,32,T1,31.4359618,1.290896787,GP,light,K201c,K2,1.456495752,304.5859618,K2c
23,K201c_3305,K201c,33,T1,32.36407526,0.841044261,GP,light,K201c,K2,1.345744273,305.5140753,K2c
24,K201c_3406,K201c,34,T1,33.21438022,0.353988793,GP,light,K201c,K2,1.210150322,306.3643802,K2c
25,K201d_2704,K201d,27,T1,26.45878894,0.841320414,GP,light,K201d,K2,1.345816165,299.6087889,K2d
26,K201d_2805,K201d,28,T1,27.25797298,0.996991159,GP,light,K201d,K2,1.385541868,300.407973,K2d
27,K201d_2901,K201d,29,T1,28.37720234,1.322394486,GP,light,K201d,K2,1.463809528,301.5272023,K2d
28,K201d_3002,K201d,30,T1,29.57047449,1.034962991,GP,light,K201d,K2,1.39499713,302.7204745,K2d
29,K201d_3104,K201d,31,T1,29.96914889,1.325326144,GP,light,K201d,K2,1.464487547,303.1191489,K2d
30,K201d_3206,K201d,32,T1,31.3169683,0.836736346,GP,light,K201d,K2,1.344622095,304.4669683,K2d
31,K201d_3301,K201d,33,T1,32.53086145,1.294753811,GP,light,K201d,K2,1.457394234,305.6808615,K2d
32,K201d_3403,K201d,34,T1,33.27699033,0.674844206,GP,light,K201d,K2,1.301510739,306.4269903,K2d
