"","genotype","treatment","rate.type","meanTopt","seTopt","meanE","seE","meanTh","seTh","meanEh","seEh","meanlnc","selnc"
"1","K2","C","GP",31.2592325439268,0.520617958005012,0.123304504531015,0.0055346901770898,306.580920224972,0.0924356545123829,17.2249245187177,6.40438720825432,0.650084254710945,0.0315984724646783
"2","K2","C","R",33.1165766212071,0.501384475252027,0.244603093323098,0.0726188163550277,308.299739362062,1.04126218001693,89.0796793586176,86.0176481021437,0.423717060483732,0.0484789769767369
"3","K2","T1","GP",30.8919085278384,1.3751731047915,1.42157728284715,1.24541605949943,304.494038057941,1.90417491040022,68.9884493049005,48.6204492827069,1.00583116874536,0.332062843050742
"4","K2","T1","R",32.6849616543637,0.198234602404727,0.127939712049303,0.0229474042464703,307.886897914619,0.694882419437771,61.2614883157743,48.667353906871,0.359507858853992,0.00451636559410987
"5","K2","T2","GP",31.7888934940621,0.218441612311734,0.269988228393372,0.0280282364283216,306.508046592845,0.191257223098646,19.9157488926301,8.00333093976109,0.674968843102678,0.0131275457325005
"6","K2","T2","R",32.7295518729359,0.117980624344592,0.168105547999698,0.0380713927972237,307.809753494035,0.918305900905584,95.1600176585108,52.1958591884751,0.359877573116711,0.0127764916454132
"7","K2","T3","GP",31.2157047449456,0.482799158159735,0.550502662852882,0.354038504627259,305.412232211965,0.997011025194804,16.121581694868,6.60528615997898,0.731433934591787,0.0740278908311054
"8","K2","T3","R",32.4054430451265,0.223718301831945,0.214305462345906,0.0624252063816465,307.587520817553,0.459458228694849,54.2126000548839,46.4126545774986,0.349362067765782,0.0175481802718724
"9","M5","C","GP",31.0579375350756,0.287645396905916,0.465008822380293,0.322308472997362,305.669364459382,0.54057392887326,14.3153336357215,5.01162002465422,1.00313941973151,0.313024067067483
"10","M5","C","R",31.2691594651154,0.39633785140328,0.489537691124633,0.174981229350635,306.3565902115,0.612489604585601,5.4055955850673,2.29188497041107,0.677209690510253,0.171463326177362
"11","M5","T1","GP",31.3281942718199,0.282822290223373,0.523690383043304,0.174370030619288,305.919697324537,0.456771402453313,10.3074404710891,3.28278700243387,0.679343095578278,0.0483478568636475
"12","M5","T1","R",30.3917649950729,1.51561247968866,4.23438990418036,3.77693665937746,304.46570598301,2.17117786445084,9.28887335590678,2.89097077550539,1.28488031000987,0.826068699249519
"13","M5","T2","GP",30.4129845554096,0.447214906262615,0.609727224444615,0.399302480099319,305.335735759503,1.08947933356843,9.60032765908285,2.6286353577827,0.712281459155933,0.0999261205749633
"14","M5","T2","R",31.6727015788568,0.138992832294555,0.407310144252154,0.1714772942813,307.232529843245,0.880174666129013,4.85550666227935,0.801158225855051,0.413382223240269,0.0627891884762785
"15","M5","T3","GP",31.585135814078,0.303973263242956,0.187097358141685,0.0678882498832653,306.473171156971,0.0371024817685895,20.6577912094706,7.60621422077186,0.602070417506656,0.0147196515288544
"16","M5","T3","R",31.275157061347,0.483640187951327,0.550062961428265,0.288599108962616,305.92176597085,1.58731499562433,4.70615524177818,1.78891743258399,0.552294967358023,0.11489263941887
"17","M6","C","GP",31.7331006539154,0.13689384715201,0.111063266314885,0.00174745778669499,306.424199286562,0.204278097814068,24.193904759005,6.77160910074439,0.597743146323781,0.0160273785387607
"18","M6","C","R",32.0138706123368,0.319707113016619,0.0844867775156574,0.0262370803563108,307.716119942576,0.451780385007824,54.5114054973183,45.5111884014828,0.333842557723901,0.00187239407370974
"19","M6","T1","GP",30.8777629543671,0.753477651584885,0.821413470541383,0.586552868660086,304.984240451252,1.41669203749471,13.4950054684331,3.42794374611715,0.818903978027819,0.150753913591492
"20","M6","T1","R",30.1621514603655,1.55887852598812,1.84634564201825,1.58448300225125,305.082878264042,2.5205997239279,6.82177924891651,0.834306629824028,0.961126013729663,0.618589149393337
"21","M6","T2","GP",31.513791998682,0.0276144373817999,0.247975357258491,0.0698727478780857,306.36944496783,0.00670911790967921,14.7077663747068,2.28781866109462,0.583972297086482,0.0347454225448403
"22","M6","T2","R",29.9094580883947,2.1983969510443,2.23034173511161,2.12784742487108,304.254696585427,3.36296162945455,13.3435346477916,5.84367856730155,1.13256816866475,0.804391711074094
"23","M6","T3","GP",30.9918676275899,0.507393791911695,0.584691491549968,0.317673543231566,305.264530620507,0.995694484387214,12.6966163377021,4.35077223266044,0.716096410553669,0.0999959539615591
"24","M6","T3","R",30.0076961106138,1.11509556341687,0.763845985651916,0.317070318341369,303.982436971995,2.72191266377739,3.2625458214437,0.708233222146652,0.76306378614591,0.268957363274123
