"","genotype","rate.type","treatment","E","Eh","lnc","Th","topt","topt_C"
"1","K2","GP","C",0.0977303144782893,8.42428490299141,1.37087459291378,307.658136703191,304.346310090648,31.1963100906478
"2","K2","GP","T1",0.0899805280634599,14.9101839275388,1.37953295043351,307.264235608939,305.037069880252,31.8870698802516
"3","K2","GP","T2",0.0856313354983853,15.0855020266487,1.37418584912249,307.063734522953,304.832612810468,31.6826128104676
"4","K2","GP","T3",0.0856296365659126,13.6486987317083,1.36828237356872,307.067773012508,304.66225138672,31.5122513867199
"5","K2","R","C",2.62695304109851e-06,0.0318220585830487,1.60047773722431,316.150772182648,38.5761723044161,-234.573827695584
"6","K2","R","T1",3.42261985196991,3.45334577361008,11.2924105141857,278.539295741136,280.471905598356,7.32190559835635
"7","K2","R","T2",2.30320477426738,2.32374848652385,10.5134527877421,271.231243999271,273.963216509562,0.813216509561755
"8","K2","R","T3",2.32347334379458,2.34740382718413,10.7552464284351,270.849510651093,273.542278431568,0.392278431567945
"9","M5","GP","C",0.20934533280587,7.16917852726222,1.38040778603841,307.267145285595,304.417732719218,31.2677327192179
"10","M5","GP","T1",0.149679249711915,8.16935282694279,1.36776809094384,307.50038889366,304.536409818872,31.3864098188718
"11","M5","GP","T2",0.108505194419297,7.45263780672886,1.35555818710133,307.654011112669,304.158597157655,31.0085971576547
"12","M5","GP","T3",0.0687855117491042,12.3918621467673,1.34331382199588,307.260755429124,304.531040545967,31.3810405459672
"13","M5","R","C",0.0367867395932647,3.64109374894751e-07,1.590664879892,309.847350220858,-0.000337295051832386,-273.150337295052
"14","M5","R","T1",0,0.0494676693510385,1.18056259766656,839.840236182621,0,-273.15
"15","M5","R","T2",0.0181107136174164,5.78955614449558e-07,1.62008124100755,2771.18415269446,-0.00059171430460769,-273.150591714305
"16","M5","R","T3",0.0275180861007972,3.26038806303657e-07,1.62244471102951,309.339193088303,-0.000306428990874538,-273.150306428991
"17","M6","GP","C",0.0586293402721378,12.604171597306,1.34665024932382,307.187569335633,304.392666836461,31.2426668364606
"18","M6","GP","T1",0.109858764911414,11.4366210876823,1.38176245248747,307.16036507799,304.589774759081,31.4397747590806
"19","M6","GP","T2",0.058768325846289,11.5830627021648,1.34963610041538,307.21659577753,304.236987292779,31.0869872927793
"20","M6","GP","T3",0.0869173307760231,10.3026273471096,1.35959011751628,307.266706012096,304.313218155424,31.1632181554244
"21","M6","R","C",0.0172344227260469,1.590143212714e-07,1.64196337119822,322.186168662163,-0.000146482354357098,-273.150146482354
"22","M6","R","T1",0.021858218004763,2.93104837689195e-06,1.62077273859773,311.861047029951,-0.00342879409167134,-273.153428794092
"23","M6","R","T2",0.0182411119667611,1.2579540509765e-08,1.63265493393291,1429.27610002616,-9.60908826662294e-06,-273.150009609088
"24","M6","R","T3",0.0437596143383572,1.83564157084601e-07,1.62478930934032,304.903021696188,-0.000159136913216998,-273.150159136913
